"","Date reported to Alberta Health","Number of lab tests","Cumulative number of lab tests","Number of cases","Cumulative number of cases","Active cases","Currently hospitalized","Currently in ICU","Cumulative number of deaths","Number of deaths","Number of variants of concern","Percent positivity"
"1",2020-03-06,60,511,1,1,1,0,0,0,0,0,5
"2",2020-03-07,281,792,0,0,1,0,0,0,0,0,0
"3",2020-03-08,454,1246,0,0,1,0,0,0,0,0,0
"4",2020-03-09,643,1889,6,7,7,1,0,0,0,0,1.71
"5",2020-03-10,784,2673,9,16,16,1,0,0,0,0,1.91
"6",2020-03-11,1334,4007,7,23,23,1,0,0,0,0,0.6
"7",2020-03-12,1147,5154,3,26,26,2,1,0,0,0,0.26
"8",2020-03-13,1587,6741,8,34,34,5,2,0,0,0,1.2
"9",2020-03-14,1555,8296,22,56,55,5,2,0,0,0,1.93
"10",2020-03-15,1834,10130,11,67,66,5,2,0,0,0,0.87
"11",2020-03-16,1485,11615,24,91,90,6,2,0,0,0,2.63
"12",2020-03-17,2083,13698,11,102,101,7,3,0,0,0,0.48
"13",2020-03-18,2878,16576,29,131,128,12,3,1,1,0,1.88
"14",2020-03-19,2869,19445,32,163,159,15,8,1,0,0,1.67
"15",2020-03-20,3593,23038,47,210,203,16,9,1,0,0,1.64
"16",2020-03-21,3507,26545,35,245,237,19,10,1,0,0,1.17
"17",2020-03-22,2854,29399,47,292,277,20,10,1,0,0,1.26
"18",2020-03-23,2728,32127,53,345,324,22,10,1,0,0,1.65
"19",2020-03-24,3143,35270,68,413,384,29,11,1,0,0,1.81
"20",2020-03-25,1645,36915,63,476,439,33,11,1,0,0,3.65
"21",2020-03-26,1316,38231,53,529,480,34,11,1,0,0,2.74
"22",2020-03-27,3697,41928,85,614,543,35,13,1,0,0,2.41
"23",2020-03-28,2145,44073,54,668,562,38,14,1,0,0,2
"24",2020-03-29,1929,46002,34,702,566,41,15,5,4,0,0.98
"25",2020-03-30,2549,48551,40,742,562,43,17,10,5,0,1.18
"26",2020-03-31,4770,53321,132,874,657,43,18,11,1,0,2.56
"27",2020-04-01,3610,56931,108,982,714,42,20,12,1,0,2.3
"28",2020-04-02,4009,60940,122,1104,790,43,20,15,3,0,2.34
"29",2020-04-03,1723,62663,71,1175,806,45,19,18,3,0,2.44
"30",2020-04-04,1807,64470,60,1235,803,47,20,23,5,0,2.6
"31",2020-04-05,1185,65655,42,1277,781,44,20,25,2,0,3.21
"32",2020-04-06,941,66596,34,1311,729,45,18,28,3,0,2.66
"33",2020-04-07,1705,68301,53,1364,707,46,16,28,0,0,2.29
"34",2020-04-08,1288,69589,33,1397,668,49,16,32,4,0,2.17
"35",2020-04-09,2291,71880,45,1442,625,50,15,36,4,0,1.48
"36",2020-04-10,2851,74731,49,1491,590,52,15,40,4,0,1.4
"37",2020-04-11,2240,76971,65,1556,576,52,15,45,5,0,2.14
"38",2020-04-12,2305,79276,68,1624,594,50,15,45,0,0,2.52
"39",2020-04-13,2136,81412,68,1692,617,49,14,48,3,0,2.76
"40",2020-04-14,2572,83984,127,1819,698,48,15,48,0,0,4.67
"41",2020-04-15,3092,87076,133,1952,765,55,12,50,2,0,3.85
"42",2020-04-16,3099,90175,146,2098,870,58,13,50,0,0,4.94
"43",2020-04-17,5238,95413,213,2311,1031,63,14,54,4,0,4.01
"44",2020-04-18,3800,99213,187,2498,1171,56,16,57,3,0,4.79
"45",2020-04-19,4370,103583,201,2699,1331,62,19,62,5,0,4.51
"46",2020-04-20,4009,107592,183,2882,1467,62,18,66,4,0,4.71
"47",2020-04-21,4313,111905,264,3146,1691,61,20,72,6,0,5.91
"48",2020-04-22,4057,115962,294,3440,1944,64,19,75,3,0,7.2
"49",2020-04-23,4471,120433,340,3780,2223,65,18,80,5,0,7.67
"50",2020-04-24,4531,124964,232,4012,2405,70,21,80,0,0,5.16
"51",2020-04-25,4664,129628,222,4234,2554,70,19,84,4,0,4.97
"52",2020-04-26,4301,133929,203,4437,2679,75,21,88,4,0,4.49
"53",2020-04-27,3444,137373,178,4615,2742,77,20,90,2,0,5.14
"54",2020-04-28,4362,141735,249,4864,2848,79,23,94,4,0,5.89
"55",2020-04-29,5077,146812,231,5095,2923,86,22,96,2,0,4.53
"56",2020-04-30,5035,151847,222,5317,2932,89,22,100,4,0,4.37
"57",2020-05-01,2847,154694,141,5458,2877,82,23,102,2,0,4.25
"58",2020-05-02,4970,159664,112,5570,2806,83,19,104,2,0,2.25
"59",2020-05-03,3244,162908,70,5640,2701,83,21,106,2,0,2.37
"60",2020-05-04,2557,165465,79,5719,2542,82,21,107,1,0,2.89
"61",2020-05-05,3032,168497,62,5781,2328,84,20,111,4,0,2.01
"62",2020-05-06,2882,171379,65,5846,2056,79,19,112,1,0,2.22
"63",2020-05-07,4135,175514,87,5933,1889,78,18,115,3,0,2.18
"64",2020-05-08,3781,179295,77,6010,1772,73,16,115,0,0,2.17
"65",2020-05-09,4214,183509,85,6095,1665,64,14,117,2,0,1.97
"66",2020-05-10,3260,186769,71,6166,1548,65,12,118,1,0,2.18
"67",2020-05-11,2793,189562,47,6213,1328,64,11,121,3,0,1.75
"68",2020-05-12,3756,193318,70,6283,1182,65,11,124,3,0,1.86
"69",2020-05-13,4409,197727,62,6345,1031,61,9,124,0,0,1.47
"70",2020-05-14,4767,202494,61,6406,961,57,9,125,1,0,1.26
"71",2020-05-15,4700,207194,73,6479,921,52,9,126,1,0,1.57
"72",2020-05-16,3986,211180,54,6533,906,50,8,128,2,0,1.4
"73",2020-05-17,3189,214369,46,6579,868,50,9,129,1,0,1.57
"74",2020-05-18,3230,217599,38,6617,839,50,9,131,2,0,1.24
"75",2020-05-19,2503,220102,43,6660,811,45,8,132,1,0,1.8
"76",2020-05-20,3277,223379,27,6687,776,44,7,136,4,0,0.92
"77",2020-05-21,3722,227101,30,6717,726,42,6,138,2,0,0.83
"78",2020-05-22,3823,230924,27,6744,658,39,6,138,0,0,0.86
"79",2020-05-23,3861,234785,32,6776,622,35,7,139,1,0,0.83
"80",2020-05-24,3234,238019,29,6805,597,33,6,139,0,0,0.87
"81",2020-05-25,2958,240977,13,6818,552,33,5,141,2,0,0.44
"82",2020-05-26,3056,244033,19,6837,500,33,5,143,2,0,0.65
"83",2020-05-27,3603,247636,27,6864,468,31,4,143,0,0,0.78
"84",2020-05-28,3903,251539,28,6892,434,32,4,143,0,0,0.74
"85",2020-05-29,3862,255401,30,6922,402,33,5,144,1,0,0.78
"86",2020-05-30,3364,258765,20,6942,380,27,6,144,0,0,0.62
"87",2020-05-31,3133,261898,34,6976,379,24,6,144,0,0,1.09
"88",2020-06-01,2734,264632,21,6997,362,24,6,145,1,0,0.77
"89",2020-06-02,4055,268687,19,7016,343,25,6,146,1,0,0.62
"90",2020-06-03,4781,273468,18,7034,329,20,6,147,1,0,0.38
"91",2020-06-04,5416,278884,19,7053,325,18,5,147,0,0,0.39
"92",2020-06-05,5604,284488,37,7090,329,18,5,148,1,0,0.75
"93",2020-06-06,5870,290358,23,7113,321,18,5,150,2,0,0.44
"94",2020-06-07,5490,295848,33,7146,343,20,5,150,0,0,0.62
"95",2020-06-08,4976,300824,24,7170,343,19,5,151,1,0,0.52
"96",2020-06-09,5923,306747,38,7208,356,16,5,151,0,0,0.69
"97",2020-06-10,6850,313597,48,7256,372,16,4,151,0,0,0.73
"98",2020-06-11,8477,322074,43,7299,381,16,4,151,0,0,0.51
"99",2020-06-12,6183,328257,27,7326,384,20,5,151,0,0,0.44
"100",2020-06-13,7665,335922,35,7361,399,18,5,151,0,0,0.52
"101",2020-06-14,7459,343381,53,7414,425,20,6,151,0,0,0.76
"102",2020-06-15,6366,349747,36,7450,440,25,6,151,0,0,0.58
"103",2020-06-16,6970,356717,45,7495,476,27,7,151,0,0,0.67
"104",2020-06-17,7821,364538,46,7541,479,28,7,152,1,0,0.64
"105",2020-06-18,9100,373638,46,7587,501,30,6,152,0,0,0.57
"106",2020-06-19,7400,381038,47,7634,515,30,6,152,0,0,0.65
"107",2020-06-20,8324,389362,30,7664,523,27,7,152,0,0,0.38
"108",2020-06-21,6895,396257,33,7697,530,28,6,153,1,0,0.51
"109",2020-06-22,6542,402799,41,7738,516,26,6,153,0,0,0.61
"110",2020-06-23,6518,409317,45,7783,521,28,7,153,0,0,0.81
"111",2020-06-24,6367,415684,25,7808,488,27,8,153,0,0,0.47
"112",2020-06-25,6634,422318,36,7844,489,30,8,154,1,0,0.57
"113",2020-06-26,6396,428714,66,7910,495,32,8,154,0,0,1.13
"114",2020-06-27,6509,435223,37,7947,493,32,8,154,0,0,0.61
"115",2020-06-28,6997,442220,68,8015,531,32,9,154,0,0,1.03
"116",2020-06-29,7199,449419,44,8059,521,32,9,154,0,0,0.64
"117",2020-06-30,6952,456371,33,8092,518,32,8,155,1,0,0.62
"118",2020-07-01,7675,464046,64,8156,519,30,8,155,0,0,0.86
"119",2020-07-02,6739,470785,55,8211,551,33,9,155,0,0,0.91
"120",2020-07-03,5960,476745,30,8241,558,38,8,155,0,0,0.55
"121",2020-07-04,5545,482290,48,8289,564,46,7,156,1,0,0.92
"122",2020-07-05,5602,487892,48,8337,587,46,6,156,0,0,1.09
"123",2020-07-06,6014,493906,49,8386,601,47,6,156,0,0,0.78
"124",2020-07-07,6268,500174,44,8430,588,47,7,158,2,0,0.78
"125",2020-07-08,6970,507144,43,8473,572,41,7,159,1,0,0.66
"126",2020-07-09,7804,514948,74,8547,583,41,9,162,3,0,0.96
"127",2020-07-10,7528,522476,62,8609,564,43,8,162,0,0,0.85
"128",2020-07-11,10003,532479,90,8699,619,44,11,162,0,0,1.01
"129",2020-07-12,7595,540074,78,8777,670,46,13,162,0,0,1.12
"130",2020-07-13,5809,545883,87,8864,698,56,13,163,1,0,1.62
"131",2020-07-14,6386,552269,85,8949,703,61,7,166,3,0,1.44
"132",2020-07-15,8225,560494,115,9064,803,64,8,166,0,0,1.62
"133",2020-07-16,6484,566978,103,9167,856,68,15,167,1,0,1.73
